city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
hf,包河,包公, 136 ,http://hf.lianjia.com/xiaoqu/baogong/
hf,包河,常青, 59 ,http://hf.lianjia.com/xiaoqu/changqing1113/
hf,包河,淝河镇, 21 ,http://hf.lianjia.com/xiaoqu/feihezhen/
hf,包河,望湖, 62 ,http://hf.lianjia.com/xiaoqu/wanghu/
hf,包河,芜湖路, 131 ,http://hf.lianjia.com/xiaoqu/wuhulu/
hf,包河,周谷堆, 55 ,http://hf.lianjia.com/xiaoqu/zhougudui/
hf,蜀山,长丰, 2 ,http://hf.lianjia.com/xiaoqu/changfeng3/
hf,蜀山,稻香村, 38 ,http://hf.lianjia.com/xiaoqu/daoxiangcun/
hf,蜀山,琥珀, 57 ,http://hf.lianjia.com/xiaoqu/hupo/
hf,蜀山,井岗镇, 64 ,http://hf.lianjia.com/xiaoqu/jinggangzhen/
hf,蜀山,南七, 72 ,http://hf.lianjia.com/xiaoqu/nanqi/
hf,蜀山,南岗镇, 5 ,http://hf.lianjia.com/xiaoqu/nangangzhen/
hf,蜀山,三里庵, 61 ,http://hf.lianjia.com/xiaoqu/sanlian/
hf,蜀山,三十岗乡, 0 ,http://hf.lianjia.com/xiaoqu/sanshigangxiang/
hf,蜀山,五里墩, 85 ,http://hf.lianjia.com/xiaoqu/wulidun/
hf,蜀山,西园, 75 ,http://hf.lianjia.com/xiaoqu/xiyuan/
hf,蜀山,新产业园, 40 ,http://hf.lianjia.com/xiaoqu/xinchanyeyuan/
hf,庐阳,亳州, 97 ,http://hf.lianjia.com/xiaoqu/bozhou/
hf,庐阳,大杨镇, 4 ,http://hf.lianjia.com/xiaoqu/dayangzhen/
hf,庐阳,海棠, 38 ,http://hf.lianjia.com/xiaoqu/haitang2/
hf,庐阳,林店, 19 ,http://hf.lianjia.com/xiaoqu/lindian/
hf,庐阳,三孝口, 240 ,http://hf.lianjia.com/xiaoqu/sanxiaokou/
hf,庐阳,双岗, 80 ,http://hf.lianjia.com/xiaoqu/shuanggang1/
hf,庐阳,四里河, 37 ,http://hf.lianjia.com/xiaoqu/silihe/
hf,庐阳,森林公园, 22 ,http://hf.lianjia.com/xiaoqu/senlingongyuan/
hf,庐阳,三十岗乡, 0 ,http://hf.lianjia.com/xiaoqu/sanshigangxiang/
hf,庐阳,逍遥津, 222 ,http://hf.lianjia.com/xiaoqu/xiaoyaojin/
hf,庐阳,杏林, 74 ,http://hf.lianjia.com/xiaoqu/xinglin/
hf,庐阳,杏花村, 11 ,http://hf.lianjia.com/xiaoqu/xinghuacun/
hf,瑶海,长淮, 68 ,http://hf.lianjia.com/xiaoqu/changhuai/
hf,瑶海,城东, 41 ,http://hf.lianjia.com/xiaoqu/chengdong2/
hf,瑶海,大兴镇, 24 ,http://hf.lianjia.com/xiaoqu/daxingzhen/
hf,瑶海,方庙, 17 ,http://hf.lianjia.com/xiaoqu/fangmiao/
hf,瑶海,和平路, 52 ,http://hf.lianjia.com/xiaoqu/hepinglu/
hf,瑶海,红光, 17 ,http://hf.lianjia.com/xiaoqu/hongguang1/
hf,瑶海,嘉山路, 32 ,http://hf.lianjia.com/xiaoqu/jiashanlu/
hf,瑶海,龙岗, 71 ,http://hf.lianjia.com/xiaoqu/longgang1/
hf,瑶海,明光路, 32 ,http://hf.lianjia.com/xiaoqu/mingguanglu/
hf,瑶海,七里站, 31 ,http://hf.lianjia.com/xiaoqu/qilizhan/
hf,瑶海,胜利路, 63 ,http://hf.lianjia.com/xiaoqu/shenglilu1/
hf,瑶海,三里街, 77 ,http://hf.lianjia.com/xiaoqu/sanlijie/
hf,瑶海,铜陵路, 53 ,http://hf.lianjia.com/xiaoqu/tonglinglu/
hf,政务,笔架山, 35 ,http://hf.lianjia.com/xiaoqu/bijiashan1/
hf,政务,荷叶地, 62 ,http://hf.lianjia.com/xiaoqu/heyedi/
hf,政务,兴园, 26 ,http://hf.lianjia.com/xiaoqu/xingyuan/
hf,滨湖新区,滨湖世纪, 176 ,http://hf.lianjia.com/xiaoqu/binhuxinqu/
hf,滨湖新区,大圩镇, 1 ,http://hf.lianjia.com/xiaoqu/daxuzhen/
hf,滨湖新区,方兴, 25 ,http://hf.lianjia.com/xiaoqu/fangxing/
hf,滨湖新区,工业园, 48 ,http://hf.lianjia.com/xiaoqu/gongyeyuan1/
hf,滨湖新区,环湖CBD, 176 ,http://hf.lianjia.com/xiaoqu/binhuxinqu/
hf,滨湖新区,骆岗, 3 ,http://hf.lianjia.com/xiaoqu/luogang1/
hf,滨湖新区,烟墩, 176 ,http://hf.lianjia.com/xiaoqu/binhuxinqu/
hf,滨湖新区,义城, 1 ,http://hf.lianjia.com/xiaoqu/yicheng/
hf,经开,芙蓉, 64 ,http://hf.lianjia.com/xiaoqu/furong1/
hf,经开,海恒, 23 ,http://hf.lianjia.com/xiaoqu/haiheng/
hf,经开,锦绣, 22 ,http://hf.lianjia.com/xiaoqu/jinxiu1/
hf,经开,莲花, 51 ,http://hf.lianjia.com/xiaoqu/lianhua3/
hf,经开,临湖, 17 ,http://hf.lianjia.com/xiaoqu/linhu1/
hf,高新,长宁, 25 ,http://hf.lianjia.com/xiaoqu/changning1/
hf,高新,南岗镇, 5 ,http://hf.lianjia.com/xiaoqu/nangangzhen/
hf,高新,蜀麓, 19 ,http://hf.lianjia.com/xiaoqu/shulu/
hf,高新,天乐, 44 ,http://hf.lianjia.com/xiaoqu/tianle/
hf,高新,兴园, 26 ,http://hf.lianjia.com/xiaoqu/xingyuan/
hf,高新,小庙镇, 0 ,http://hf.lianjia.com/xiaoqu/xiaomiaozhen/
hf,新站,东站, 11 ,http://hf.lianjia.com/xiaoqu/dongzhan1/
hf,新站,磨店, 10 ,http://hf.lianjia.com/xiaoqu/modian/
hf,新站,七里塘, 76 ,http://hf.lianjia.com/xiaoqu/qilitang/
hf,新站,三十头, 2 ,http://hf.lianjia.com/xiaoqu/sanshitou/
hf,新站,站北, 7 ,http://hf.lianjia.com/xiaoqu/zhanbei/
hf,肥东,肥东, 71 ,http://hf.lianjia.com/xiaoqu/feidong1/
hf,肥西,柏堰, 6 ,http://hf.lianjia.com/xiaoqu/baiyan/
hf,肥西,长安, 5 ,http://hf.lianjia.com/xiaoqu/changan3/
hf,肥西,长岗, 0 ,http://hf.lianjia.com/xiaoqu/changgang/
hf,肥西,肥西, 50 ,http://hf.lianjia.com/xiaoqu/feixi1/
hf,肥西,繁华新园, 4 ,http://hf.lianjia.com/xiaoqu/fanhuaxinyuan/
hf,肥西,翡翠, 5 ,http://hf.lianjia.com/xiaoqu/feicui/
hf,肥西,古城, 1 ,http://hf.lianjia.com/xiaoqu/gucheng1/
hf,肥西,黄小, 7 ,http://hf.lianjia.com/xiaoqu/huangxiao/
hf,肥西,染坊, 7 ,http://hf.lianjia.com/xiaoqu/ranfang/
hf,肥西,桃花工业园, 20 ,http://hf.lianjia.com/xiaoqu/taohuagongyeyuan/
hf,肥西,新港, 22 ,http://hf.lianjia.com/xiaoqu/xingang2/
hf,长丰,北城, 101 ,http://hf.lianjia.com/xiaoqu/beicheng/
hf,长丰,长丰, 2 ,http://hf.lianjia.com/xiaoqu/changfeng3/
hf,长丰,三十岗乡, 0 ,http://hf.lianjia.com/xiaoqu/sanshigangxiang/
